symbol,groww_slug
CHEMPLASTS,chemplast-sanmar-ltd
CHENNPETRO,chennai-petroleum-corporation-ltd
CHEVIOT,cheviot-company-ltd
CHOICEIN,choice-international-ltd
CHOLAFIN,cholamandalam-investment-and-finance-company-ltd
CHOLAHLDNG,cholamandalam-financial-holdings-ltd
CIEINDIA,cie-automotive-india-ltd
CIFL,capital-india-finance-ltd
CINELINE,cineline-india-ltd
CINEVISTA,cinevista-ltd
CIPLA,cipla-ltd
CLCIND,clc-industries-ltd
CLEAN,clean-science-and-technology-ltd
CLEANMAX,clean-max-enviro-energy-solutions-ltd
CLEDUCATE,cl-educate-ltd
CLSEL,chaman-lal-setia-exports-ltd
CMLL,caliber-mining-and-logistics-ltd
CMPDI,central-mine-planning-design-institute-ltd
CMRGREEN,cmr-green-technologies-ltd
CMSINFO,cms-info-systems-ltd
CNL,creative-newtech-ltd
COALINDIA,coal-india-ltd
COASTCORP,coastal-corporation-ltd
COCHINSHIP,cochin-shipyard-ltd
COCKERILL,john-cockerill-india-ltd
COFFEEDAY,coffee-day-enterprises-ltd
COFORGE,coforge-ltd
COHANCE,cohance-lifesciences-ltd
COLPAL,colgate-palmolive-india-ltd
COMFINTE,comfort-intech-ltd
COMPEAU,competent-automobiles-company-ltd
COMPINFO,compuage-infocom-ltd
COMPUSOFT,compucom-software-ltd
COMSYN,commercial-syn-bags-ltd
CONCOR,container-corporation-of-india-ltd
CONCORDBIO,concord-biotech-ltd
CONFIPET,confidence-petroleum-india-ltd
CONSOFINVT,consolidated-finvest-holdings-ltd
CONTROLPR,control-print-ltd
CORALFINAC,coral-india-finance-housing-ltd
CORDELIA,waterways-leisure-tourism-ltd
CORDSCABLE,cords-cable-industries-ltd
COROMANDEL,coromandel-international-ltd
CORONA,corona-remedies-ltd
COSMOFIRST,cosmo-first-ltd
COUNCODOS,country-condo-s-ltd
CPCAP,cp-capital-ltd
CPEDU,career-point-edutech-ltd
CPL,captain-polyplast-ltd
CPPLUS,aditya-infotech-ltd
CRAFTSMAN,craftsman-automation-ltd
CRAMC,canara-robeco-asset-management-company-ltd
CRAVATEX,cravatex-ltd
CREATIVEYE,creative-eye-ltd
CREDITACC,creditaccess-grameen-ltd
CREST,crest-ventures-ltd
CRISIL,crisil-ltd
CRIZAC,crizac-ltd
CROMPTON,crompton-greaves-consumer-electricals-ltd
CROWN,crown-lifters-ltd
CRSL,cressanda-railway-solutions-ltd
CSBBANK,csb-bank-ltd
CSLFINANCE,csl-finance-ltd
CSM,csm-technologies-ltd
CTE,cambridge-technology-enterprises-ltd
CUB,city-union-bank-ltd
CUBEXTUB,cubex-tubings-ltd
CUMMINSIND,cummins-india-ltd
CUPID,cupid-ltd
CURAA,cura-technologies-ltd
CYBERMEDIA,cyber-media-india-ltd
CYBERTECH,cybertech-systems-and-software-ltd
CYIENT,cyient-ltd
CYIENTDLM,cyient-dlm-ltd
DABUR,dabur-india-ltd
DAICHI,dai-ichi-karkaria-ltd
DALBHARAT,dalmia-bharat-ltd
DALMIASUG,dalmia-bharat-sugar-and-industries-ltd
DAMCAPITAL,dam-capital-advisors-ltd
DAMODARIND,damodar-industries-ltd
DANGEE,dangee-dums-ltd
DATAMATICS,datamatics-global-services-ltd
DATAPATTNS,data-patterns-india-ltd
DAVANGERE,davangere-sugar-company-ltd
DBCORP,d-b-corp-ltd
DBEIL,deepak-builders-engineers-india-ltd
DBL,dilip-buildcon-ltd
DBOL,dhampur-bio-organics-ltd
DBREALTY,valor-estate-ltd
DBSTOCKBRO,db-international-stock-brokers-ltd
DCAL,dishman-carbogen-amcis-ltd
DCBBANK,dcb-bank-ltd
DCI,dc-infotech-and-communication-ltd
DCM,dcm-ltd
DCMFINSERV,dcm-financial-services-ltd
DCMNVL,dcm-nouvelle-ltd
DCMSHRIRAM,dcm-shriram-ltd
DCMSIL,dcm-shriram-international-ltd
DCMSRIND,dcm-shriram-industries-ltd
DCW,dcw-ltd
DCXINDIA,dcx-systems-ltd
DDEVPLSTIK,ddev-plastiks-industries-ltd
DECCANCE,deccan-cements-ltd
DECNGOLD,deccan-gold-mines-ltd
DEEDEV,dee-development-engineers-ltd
DEEP,deep-polymers-ltd
DEEPAKFERT,deepak-fertilizers-and-petrochemicals-corporation-ltd
DEEPAKNTR,deepak-nitrite-ltd
DEEPINDS,deep-industries-ltd
DELHIVERY,delhivery-ltd
DELPHIFX,delphi-world-money-ltd
DELTACORP,delta-corp-ltd
DELTAMAGNT,delta-manufacturing-ltd
DEN,den-networks-ltd
